City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Kinsale,IE,51.7075,-8.5306,13.46,87,40,1.54,scattered clouds
138,Dingle,PH,10.9995,122.6711,24.59,92,100,2.63,overcast clouds
139,Governador Valadares,BR,-18.8511,-41.9494,28.55,50,48,2.34,scattered clouds
140,Eatonton,US,33.3268,-83.3885,27.35,48,26,3.09,scattered clouds
141,Derzhavinsk,KZ,51.1,66.3167,1.93,39,0,3.26,clear sky
142,Cajica,CO,4.9186,-74.028,17.94,63,81,3.02,broken clouds
143,Mbaiki,CF,3.8678,17.9892,20.56,98,98,0.76,overcast clouds
144,Iqaluit,CA,63.7506,-68.5145,0.85,64,75,4.12,broken clouds
145,Solwezi,ZM,-12.1688,26.3894,18.82,29,0,0.19,clear sky
146,Abaete,BR,-19.16,-45.4458,25.64,57,65,1.87,broken clouds
147,Bay Roberts,CA,47.5999,-53.2648,10.18,58,100,1.79,overcast clouds
148,Sile,TR,41.1754,29.6133,18.37,70,0,0.89,clear sky
149,Gijon,ES,43.5357,-5.6615,18.33,89,100,4.02,overcast clouds
150,Pastavy,BY,55.1168,26.8326,6.24,90,100,3.24,overcast clouds
151,Chapais,CA,49.7834,-74.8492,6.88,38,37,2.42,scattered clouds
152,Knysna,ZA,-34.0363,23.0471,16.62,70,0,3.95,clear sky
153,Namibe,AO,-15.1961,12.1522,17.8,85,10,2.1,clear sky
154,Bila Tserkva,UA,49.8094,30.1121,8.45,86,100,8.52,light rain
155,Mitu,CO,1.1983,-70.1733,27.42,70,100,1.53,light rain
156,Rakai,UG,-0.72,31.4839,17.58,77,92,1.65,overcast clouds
157,Ostrovnoy,RU,68.0531,39.5131,1.95,84,78,4.47,broken clouds
158,Pangody,RU,65.85,74.4859,0.75,74,100,6.06,overcast clouds
159,Arroio Grande,BR,-32.2375,-53.0869,17.3,75,15,2.25,few clouds
160,Ovalle,CL,-30.5983,-71.2003,24.54,39,0,2.67,clear sky
161,Acri,IT,39.4929,16.3838,14.69,93,70,3.6,broken clouds
162,Izmit,TR,40.7669,29.9169,15.23,100,40,1.03,scattered clouds
163,Krasnoselkup,RU,65.7,82.4667,-0.44,73,99,5.79,overcast clouds
164,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,29.89,70,40,2.06,light rain
165,Vigia,BR,-0.8583,-48.1417,25.93,85,97,5.04,heavy intensity rain
166,Inhambane,MZ,-23.865,35.3833,21.25,82,0,3.45,clear sky
167,Inirida,CO,3.8653,-67.9239,27.06,73,85,1.37,overcast clouds
168,Eshowe,ZA,-28.8865,31.4699,17.3,95,60,1.45,broken clouds
169,Yabelo,ET,4.8833,38.0833,19.37,46,100,3.54,overcast clouds
170,Melilla,ES,35.2937,-2.9383,22.21,83,40,0.51,scattered clouds
171,Cabedelo,BR,-6.9811,-34.8339,25.37,76,26,6.09,scattered clouds
172,Talnakh,RU,69.4865,88.3972,-1.55,94,78,4.31,broken clouds
173,Wicklow,IE,53.0,-6.4167,11.07,88,100,0.68,overcast clouds
174,Ouadda,CF,8.0777,22.4007,19.88,98,100,0.96,moderate rain
175,Henties Bay,NA,-22.116,14.2845,13.47,92,4,2.47,clear sky
176,Suleja,NG,9.1758,7.1808,23.16,87,70,0.58,broken clouds
177,Kita,ML,13.0349,-9.4895,24.19,82,39,1.49,light rain
178,Vestmannaeyjar,IS,63.4427,-20.2734,10.67,92,100,9.14,overcast clouds
179,Awbari,LY,26.5921,12.7805,28.95,30,2,6.27,clear sky
