City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Narsaq,GL,2022-10-02 00:49:33,60.9167,-46.05,276.27,92,100,2.18
135,Coruripe,BR,2022-10-02 00:49:33,-10.1256,-36.1756,295.55,77,1,3.11
136,Ostrovnoy,RU,2022-10-02 00:49:33,68.0531,39.5131,275.57,87,100,4.18
137,Nanortalik,GL,2022-10-02 00:49:34,60.1432,-45.2371,277.56,78,100,0.75
138,Warren,US,2022-10-02 00:49:34,39.4334,-84.1666,290.73,58,0,6.17
139,Peniche,PT,2022-10-02 00:49:34,39.3558,-9.3811,290.43,73,18,6.34
140,Morondava,MG,2022-10-02 00:49:34,-20.2833,44.2833,295.25,78,0,0.76
141,Polje,BA,2022-10-02 00:49:35,43.8806,18.0744,283.73,93,3,0.83
142,Lencois Paulista,BR,2022-10-02 00:49:35,-22.5986,-48.8003,297.42,87,0,2.39
143,Kajaani,FI,2022-10-02 00:49:36,64.2273,27.7285,277.18,100,75,2.06
144,Praia Da Vitoria,PT,2022-10-02 00:49:36,38.7333,-27.0667,295.79,88,20,7.89
145,Doha,QA,2022-10-02 00:46:54,25.2867,51.5333,302.14,59,0,2.06
146,Monrovia,LR,2022-10-02 00:49:36,6.3005,-10.7969,297.49,89,94,3.4
147,Esna,EG,2022-10-02 00:49:37,25.2934,32.554,302.16,27,0,4.95
148,Tselinnoye,RU,2022-10-02 00:49:37,53.0833,85.6667,266.03,92,20,1.79
149,Andenes,NO,2022-10-02 00:49:37,69.3143,16.1194,278.11,87,30,4.63
150,Sisimiut,GL,2022-10-02 00:49:38,66.9395,-53.6735,273.79,87,100,3.39
151,Karlshamn,SE,2022-10-02 00:49:38,56.1706,14.8619,283.66,92,100,5.2
152,Inirida,CO,2022-10-02 00:49:38,3.8653,-67.9239,295.66,99,100,1.06
153,Maues,BR,2022-10-02 00:49:38,-3.3836,-57.7186,295.86,96,95,1.24
154,El Reten,CO,2022-10-02 00:49:39,10.6114,-74.2682,298.27,83,42,1.6
155,Marquette,US,2022-10-02 00:49:39,46.5333,-87.6335,283.05,92,89,2.81
156,Kvareli,GE,2022-10-02 00:49:39,41.9524,45.8151,291.05,60,46,1.47
157,Hamilton,US,2022-10-02 00:45:14,39.1834,-84.5333,291.62,52,0,9.26
158,Pacasmayo,PE,2022-10-02 00:49:40,-7.4006,-79.5714,289.49,87,28,6.08
159,Kikwit,CD,2022-10-02 00:49:40,-5.041,18.8162,294.42,96,100,0.58
160,Niamey,NE,2022-10-02 00:49:40,13.5137,2.1098,300.31,78,0,2.57
161,Port-Gentil,GA,2022-10-02 00:49:41,-0.7193,8.7815,298.38,84,100,3.64
162,Punta Arenas,CL,2022-10-02 00:44:46,-53.15,-70.9167,279.21,61,0,6.69
163,Kostomuksha,RU,2022-10-02 00:49:41,64.571,30.5767,273.4,96,21,1.18
164,Puerto Maldonado,PE,2022-10-02 00:49:41,-12.6,-69.1833,297.37,78,0,0.0
165,Santo Tomas,PH,2022-10-02 00:49:42,14.1079,121.1414,300.68,70,54,3.64
166,Shieli,KZ,2022-10-02 00:49:42,44.1667,66.75,278.72,31,0,8.25
167,Husavik,IS,2022-10-02 00:49:42,66.0449,-17.3389,280.69,96,100,3.5
168,Vetapalem,IN,2022-10-02 00:49:43,15.7833,80.3167,298.66,84,100,3.94
169,Nara,JP,2022-10-02 00:46:36,34.6851,135.8049,298.13,49,1,1.02
170,Camacha,PT,2022-10-02 00:49:43,33.0833,-16.3333,292.83,64,20,4.12
171,Grindavik,IS,2022-10-02 00:49:44,63.8424,-22.4338,281.41,93,100,13.89
172,Hambantota,LK,2022-10-02 00:49:44,6.1241,81.1185,298.34,100,40,3.09
173,Kano,NG,2022-10-02 00:49:44,12.0001,8.5167,299.79,57,100,2.52
174,Elizabethtown,US,2022-10-02 00:47:20,37.694,-85.8591,292.08,53,0,1.54
175,Bereda,ES,2022-10-02 00:49:45,43.2686,-7.5406,284.39,98,100,0.44
176,Neustadt,DE,2022-10-02 00:50:45,49.7117,12.0872,284.42,93,75,0.0
177,Umm Kaddadah,SD,2022-10-02 00:50:45,13.6017,26.6876,302.61,48,36,3.51
178,Saint-Leu,RE,2022-10-02 00:50:46,-21.15,55.2833,293.63,73,68,3.16
179,Eqbaliyeh,IR,2022-10-02 00:50:46,35.3022,51.5358,294.05,33,0,4.54
180,Carnarvon,AU,2022-10-02 00:50:46,-24.8667,113.6333,294.43,59,0,5.44
181,Saint Augustine,US,2022-10-02 00:50:47,29.8947,-81.3145,295.96,92,0,3.44
182,Mbandaka,CD,2022-10-02 00:50:47,0.0487,18.2603,294.51,97,100,1.32
183,Roald,NO,2022-10-02 00:50:47,62.5833,6.1333,285.0,100,40,1.03
184,Faya,SA,2022-10-02 00:50:48,18.3851,42.4509,289.21,58,0,0.67
185,Saint George,US,2022-10-02 00:50:48,37.1041,-113.5841,304.48,25,0,5.66
186,Shache,CN,2022-10-02 00:50:48,38.4167,77.2406,286.88,36,72,3.22
187,Araouane,ML,2022-10-02 00:50:49,18.9048,-3.5265,301.37,46,100,6.36
188,Rawson,AR,2022-10-02 00:47:10,-43.3002,-65.1023,283.98,60,100,5.24
189,Bonfim,BR,2022-10-02 00:50:49,3.0833,-59.95,299.68,72,98,1.36
190,Olinda,BR,2022-10-02 00:50:49,-8.0089,-34.8553,299.0,69,40,4.12
191,Bengkulu,ID,2022-10-02 00:50:50,-3.8004,102.2655,298.47,85,99,1.4
192,San Rafael Del Sur,NI,2022-10-02 00:50:50,11.8485,-86.4384,299.69,92,100,2.22
193,Belmopan,BZ,2022-10-02 00:50:09,17.25,-88.7667,299.36,85,100,1.12
194,Wattens,AT,2022-10-02 00:50:50,47.2722,11.5993,283.38,95,75,1.54
195,Kruisfontein,ZA,2022-10-02 00:50:51,-34.0033,24.7314,285.39,87,76,1.94
196,Colares,PT,2022-10-02 00:50:51,38.7992,-9.4469,293.89,75,7,7.15
197,Kodarma,IN,2022-10-02 00:50:52,24.4667,85.6,297.58,81,39,1.42
198,Kananga,CD,2022-10-02 00:50:52,-5.8958,22.4178,294.3,86,94,0.79
199,Bentiu,SS,2022-10-02 00:50:52,9.2333,29.8333,295.97,85,0,1.03
200,Saint-Francois,FR,2022-10-02 00:50:52,46.4154,3.9054,289.84,94,75,2.06
201,Port Elizabeth,ZA,2022-10-02 00:50:53,-33.918,25.5701,285.55,97,0,2.06
202,Malakal,SS,2022-10-02 00:50:53,9.5334,31.6605,295.58,85,7,0.47
203,Lerici,IT,2022-10-02 00:50:54,44.0759,9.9112,291.68,78,30,1.79
204,Meulaboh,ID,2022-10-02 00:50:54,4.1363,96.1285,298.52,86,100,3.15
205,Maroantsetra,MG,2022-10-02 00:50:54,-15.4333,49.7333,291.31,89,81,0.96
206,Adrar,MR,2022-10-02 00:50:55,20.5022,-10.0711,299.42,24,0,3.83
207,Vestmannaeyjar,IS,2022-10-02 00:50:55,63.4427,-20.2734,281.23,85,100,16.45
208,Srikakulam,IN,2022-10-02 00:50:55,18.3,83.9,298.71,87,94,2.47
209,Umm Lajj,SA,2022-10-02 00:50:56,25.0213,37.2685,304.05,32,0,2.86
210,Nueva Loja,EC,2022-10-02 00:50:56,0.0847,-76.8828,295.0,87,18,0.56
211,Santa Helena,BR,2022-10-02 00:50:57,-2.2311,-45.3,296.51,93,85,1.92
